,CDEC Station,River Basin,Latitude,Longitude,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,red_rock_mountain,Trinity,41.03066485,-122.8987362,"(150.0, 54.7, 0.36)","(71.4, 31.2, 0.44)","(97.8, 44.2, 0.45)","(95.7, 47.3, 0.49)","(154.8, 59.1, 0.38)","(110.0, 49.0, 0.45)","(159.3, 76.6, 0.48)","(52.9, 25.2, 0.48)","(91.7, 57.3, 0.62)","(63.7, 29.3, 0.46)",,,"(75.5, 36.6, 0.48)","(54.2, 23.4, 0.43)","(24.5, 7.0, 0.29)","(0.0, 0.0, 0.0)","(50.5, 29.5, 0.58)","(112.0, 56.0, 0.5)","(33.0, 13.0, 0.39)","(159.0, 65.0, 0.41)"
1,parks_creek,Shasta,41.34761713,-122.5368595,"(123.7, 42.4, 0.34)","(46.0, 21.7, 0.47)","(37.2, 34.8, 0.94)","(103.8, 47.6, 0.46)","(133.1, 47.4, 0.36)","(96.7, 38.2, 0.4)",,"(88.0, 27.6, 0.31)","(79.1, 30.1, 0.38)","(69.3, 25.5, 0.37)",,,"(54.0, 15.0, 0.28)",,"(28.0, 7.5, 0.27)","(0.0, 0.0, 0.0)","(77.0, 34.0, 0.44)","(77.0, 24.5, 0.32)","(28.5, 6.5, 0.23)","(98.0, 32.0, 0.33)"
2,mt_shasta,Sacramento,41.31392323,-122.3099082,"(168.9, 59.6, 0.35)","(88.9, 42.6, 0.48)","(33.1, 51.6, 1.56)","(150.7, 74.1, 0.49)","(188.2, 73.1, 0.39)","(61.1, 54.0, 0.88)","(215.0, 113.0, 0.53)","(113.7, 37.2, 0.33)","(82.4, 36.4, 0.44)","(94.9, 40.2, 0.42)","(126.0, 51.0, 0.4)","(123.0, 53.0, 0.43)","(120.6, 44.4, 0.37)","(86.2, 40.5, 0.47)","(52.4, 14.0, 0.27)","(82.0, 36.0, 0.44)","(104.5, 46.0, 0.44)","(172.0, 73.5, 0.43)","(58.0, 18.5, 0.32)","(152.0, 55.0, 0.36)"
3,brewer_creek,McCloud,41.40531038,-122.0555872,"(123.5, 49.4, 0.4)","(83.7, 22.0, 0.26)","(73.1, 34.9, 0.48)","(38.6, 33.6, 0.87)","(78.0, 34.0, 0.44)","(95.3, 41.8, 0.44)","(128.0, 50.0, 0.39)","(69.9, 25.8, 0.37)","(65.6, 33.8, 0.52)","(70.5, 33.4, 0.47)","(92.7, 42.8, 0.46)","(127.6, 60.0, 0.47)","(36.3, 10.9, 0.3)",,"(16.5, 5.5, 0.33)","(23.5, 10.5, 0.45)","(107.0, 37.0, 0.35)","(87.5, 43.0, 0.49)","(27.5, 8.0, 0.29)","(127.0, 46.0, 0.36)"
4,cedar_pass,Pit,41.56125893,-120.2696222,"(35.5, 14.2, 0.4)","(13.2, 4.4, 0.33)","(55.5, 20.7, 0.37)","(24.9, 9.0, 0.36)","(33.3, 14.6, 0.44)","(44.0, 14.2, 0.32)","(54.2, 18.9, 0.35)","(19.2, 5.9, 0.31)","(46.5, 13.8, 0.3)","(41.6, 14.6, 0.35)","(38.1, 12.4, 0.33)","(60.5, 20.5, 0.34)","(25.0, 7.4, 0.3)","(25.6, 10.2, 0.4)","(21.0, 7.5, 0.36)","(0.0, 0.0, 0.0)","(47.0, 21.0, 0.45)","(51.5, 20.0, 0.39)","(33.0, 11.0, 0.33)","(60.5, 26.5, 0.44)"
5,eureka_lake,Feather,39.76513927,-120.7141291,"(78.3, 32.9, 0.42)","(36.9, 15.8, 0.43)","(68.9, 25.0, 0.36)","(37.4, 16.4, 0.44)","(62.7, 25.6, 0.41)","(79.6, 34.0, 0.43)","(68.4, 24.6, 0.36)","(33.0, 10.4, 0.32)","(65.4, 29.4, 0.45)","(56.9, 21.8, 0.38)","(79.8, 28.4, 0.36)","(88.8, 48.6, 0.55)","(38.8, 7.4, 0.19)","(24.0, 11.7, 0.49)","(12.0, 3.5, 0.29)",,"(47.0, 20.0, 0.43)","(87.0, 41.0, 0.47)","(35.0, 14.0, 0.4)","(110.0, 48.0, 0.44)"
6,yuba_pass,Yuba,39.6174,120.4899,"(100.0, 35.8, 0.36)","(28.9, 11.6, 0.4)","(65.1, 28.7, 0.44)","(37.1, 19.4, 0.52)","(104.8, 37.3, 0.36)","(96.5, 38.7, 0.4)","(50.0, 14.0, 0.28)","(75.1, 19.6, 0.26)","(54.1, 26.0, 0.48)","(66.8, 28.0, 0.42)","(91.7, 33.6, 0.37)","(150.0, 51.0, 0.34)","(37.9, 20.5, 0.54)","(35.2, 15.3, 0.43)","(24.0, 6.5, 0.27)","(0.0, 0.0, 0.0)","(51.0, 23.0, 0.45)","(111.5, 53.0, 0.48)","(48.0, 10.0, 0.21)","(119.0, 53.0, 0.45)"
7,ward_creek_2,Lake Tahoe,39.13870235,-120.1986614,"(102.2, 34.7, 0.34)","(39.6, 16.9, 0.43)","(86.2, 34.5, 0.4)","(49.4, 21.6, 0.44)","(108.6, 38.1, 0.35)","(96.7, 34.4, 0.36)","(57.8, 22.0, 0.38)","(72.1, 20.5, 0.28)","(76.7, 34.0, 0.44)","(66.5, 24.1, 0.36)","(71.0, 29.0, 0.41)","(155.0, 62.5, 0.4)","(61.8, 20.6, 0.33)","(37.7, 16.2, 0.43)","(46.5, 14.5, 0.31)","(0.0, 0.0, 0.0)","(72.0, 31.5, 0.44)","(138.0, 51.0, 0.37)","(57.5, 20.0, 0.35)","(128.0, 51.0, 0.4)"
8,echo_summit,American,38.81342052,-120.0303156,"(66.9, 27.9, 0.42)","(34.1, 13.5, 0.4)","(94.3, 30.9, 0.33)","(38.6, 17.4, 0.45)","(87.2, 28.4, 0.33)","(102.9, 37.7, 0.37)","(59.8, 21.1, 0.35)","(71.8, 17.3, 0.24)","(64.4, 28.3, 0.44)","(60.5, 25.1, 0.41)","(65.2, 20.8, 0.32)","(135.0, 52.0, 0.39)","(32.4, 6.5, 0.2)","(34.4, 13.1, 0.38)","(33.0, 12.0, 0.36)","(12.0, 2.0, 0.17)","(52.0, 23.0, 0.44)","(102.5, 46.0, 0.45)","(50.0, 17.0, 0.34)","(112.0, 43.0, 0.38)"
9,hams_station,Mokelumne,38.5446318,-120.3779759,"(1.0, 0.3, 0.33)","(0.0, 0.0, 0.0)","(9.7, 4.3, 0.44)","(0.0, 0.0, 0.0)","(8.0, 3.0, 0.38)","(37.0, 14.5, 0.39)","(43.0, 14.0, 0.33)","(0.2, 0.2, 1.0)","(19.5, 9.0, 0.46)","(10.6, 4.6, 0.43)","(14.5, 6.8, 0.47)","(56.5, 20.6, 0.36)","(7.1, 2.3, 0.32)","(0.0, 0.0, 0.0)","(6.5, 2.0, 0.31)","(0.0, 0.0, 0.0)","(1.0, 0.5, 0.5)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(6.5, 3.0, 0.46)"
