Year,Name,AcresBurned,Fire Size Rank,Cause,SOURCE_REPORTING_UNIT_NAME,DaysBurn,Discovery Month,Discovered DOY,Contained Month,Contained DOY,Latitude,Longitude,County,CountyIds,State,OWNER_DESCR
2016,Soberanes Fire,132127.0,G,NaN,,83,Jul,,Oct,287,36.45994,-121.89938,Monterey,27,CA,NaN
2016,Erskine Fire,48019.0,G,NaN,,18,Jun,,Jul,193,35.6115,-118.45628,Kern,15,CA,NaN
2016,Chimney Fire,46344.0,G,NaN,,24,Aug,,Sep,250,35.70595,-120.98316,San Luis Obispo,40,CA,NaN
2016,Blue Cut Fire,36274.0,G,NaN,,7,Aug,,Aug,236,34.30372,-117.49342,San Bernardino,36,CA,NaN
2016,Gap Fire,33867.0,G,NaN,,1,Aug,,Aug,241,41.851,-123.118,Siskiyou,47,CA,NaN
2016,Rey Fire ,32606.0,G,NaN,,28,Aug,,Sep,259,0.0,0.0,Santa Barbara,42,CA,NaN
2016,Cedar Fire,29322.0,G,NaN,,46,Aug,,Oct,275,35.7506,-118.5678,Kern,15,CA,NaN
2016,Canyon Fire,12518.0,G,NaN,,10,Sep,,Sep,271,34.63445,-120.54421,Santa Barbara,42,CA,NaN
2016,Pilot Fire,8110.0,G,NaN,,9,Aug,,Aug,229,34.28771,-117.27338,San Bernardino,36,CA,NaN
2016,Border Fire,7609.0,G,NaN,,11,Jun,,Jun,182,32.60729,-116.63028,San Diego,37,CA,NaN
2016,Sherpa Fire,7474.0,G,NaN,,27,Jun,,Jul,194,34.776,-119.643,Santa Barbara,42,CA,NaN
2016,Mineral Fire,7050.0,G,NaN,,9,Aug,,Aug,231,36.09974,-120.51057,Fresno,10,CA,NaN
2016,Cold Fire,5731.0,G,NaN,,10,Aug,,Aug,225,38.52513,-122.06788,Yolo,57,CA,NaN
2016,Trailhead Fire,5646.0,G,NaN,,20,Jun,,Jul,200,38.96741,-120.9375,El Dorado,"9,31",CA,NaN
2016,Trailhead Fire,5646.0,G,NaN,,20,Jun,,Jul,200,38.96741,-120.9375,Placer,"9,31",CA,NaN
2016,Owens River Fire,5443.0,G,NaN,,1,Sep,,Sep,262,37.75985,-118.95309,Inyo,14,CA,NaN
