Year,Name,AcresBurned,Fire Size Rank,Cause,SOURCE_REPORTING_UNIT_NAME,DaysBurn,Discovery Month,Discovered DOY,Contained Month,Contained DOY,Latitude,Longitude,County,CountyIds,State,OWNER_DESCR,NOAA Station
2016,Soberanes Fire,132127.0,G,,,83.0,Jul,,Oct,287.0,36.45994,-121.89938,Monterey,27,CA,,USW00023259
2016,Erskine Fire,48019.0,G,,,18.0,Jun,,Jul,193.0,35.6115,-118.45628,Kern,15,CA,,USW00023155
2016,Chimney Fire,46344.0,G,,,24.0,Aug,,Sep,250.0,35.70595,-120.98316,San Luis Obispo,40,CA,,USW00093209
2016,Blue Cut Fire,36274.0,G,,,7.0,Aug,,Aug,236.0,34.30372,-117.49342,San Bernardino,36,CA,,USW00003102
2016,Gap Fire,33867.0,G,,,1.0,Aug,,Aug,241.0,41.851,-123.118,Siskiyou,47,CA,,USW00024283
2016,Rey Fire ,32606.0,G,,,28.0,Aug,,Sep,259.0,0.0,0.0,Santa Barbara,42,CA,,USW00023154
2016,Cedar Fire,29322.0,G,,,46.0,Aug,,Oct,275.0,35.7506,-118.5678,Kern,15,CA,,USW00023155
2016,Canyon Fire,12518.0,G,,,10.0,Sep,,Sep,271.0,34.63445,-120.54421,Santa Barbara,42,CA,,USW00023273
2016,Pilot Fire,8110.0,G,,,9.0,Aug,,Aug,229.0,34.28771,-117.27338,San Bernardino,36,CA,,USW00003102
2016,Border Fire,7609.0,G,,,11.0,Jun,,Jun,182.0,32.60729,-116.63028,San Diego,37,CA,,USW00003164
2016,Sherpa Fire,7474.0,G,,,27.0,Jun,,Jul,194.0,34.776,-119.643,Santa Barbara,42,CA,,USW00023190
2016,Mineral Fire,7050.0,G,,,9.0,Aug,,Aug,231.0,36.09974,-120.51057,Fresno,10,CA,,USW00093209
2016,Cold Fire,5731.0,G,,,10.0,Aug,,Aug,225.0,38.52513,-122.06788,Yolo,57,CA,,USW00093241
2016,Trailhead Fire,5646.0,G,,,20.0,Jun,,Jul,200.0,38.96741,-120.9375,El Dorado,"9,31",CA,,USW00023225
2016,Trailhead Fire,5646.0,G,,,20.0,Jun,,Jul,200.0,38.96741,-120.9375,Placer,"9,31",CA,,USW00023225
2016,Owens River Fire,5443.0,G,,,1.0,Sep,,Sep,262.0,37.75985,-118.95309,Inyo,14,CA,,USW00023157
2016,San Gabriel Complex (Formerly Fish & Reservoir Fires),5399.0,G,,,59.0,Jun,,Apr,113.0,0.0,0.0,Los Angeles,19,CA,,USW00023154
2016,Loma Fire,4474.0,F,,,8.0,Sep,,Sep,262.0,37.10632,-121.85318,Santa Clara,43,CA,,USW00023277
