,Fire Size Rank,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Mar_SP,Mar_WC,Mar_Dens,Elevation,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
0,Medium,6.7,430.0,0.0,26.0,0.0,78.9,96.0,61.7,2.6699999999999995,6.41,52.0,0.0,1.0,77.1,27.9,0.36,383.8536,0,1,0,0,0,0,0,0,0,0,0,0
1,Very Large,5.6,285.0,1.0,19.0,0.11,74.4,91.8,57.1,4.67,27.71,57.0,0.0,1.0,33.1,51.6,1.56,2621.3592000000003,0,0,0,0,0,0,0,0,0,0,0,1
2,Large,5.6,547.0,0.0,28.0,0.0,82.7,96.2,69.2,2.89,4.54,42.0,0.0,1.0,33.5,14.5,0.43,328.08000000000004,0,1,0,0,0,0,0,0,0,0,0,0
3,Large,6.5,107.0,0.0,1.0,0.0,68.3,77.6,58.9,3.76,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1811.0016,0,1,0,0,0,0,0,0,0,0,0,0
4,Medium,4.5,444.0,1.0,20.0,0.23,79.8,93.7,65.9,0.76,2.72,48.0,0.0,0.0,0.0,0.0,0.0,1197.492,0,0,0,0,0,0,0,0,0,0,0,1
5,Large,7.4,860.0,0.0,31.0,0.0,92.7,107.3,78.2,1.79,3.28,52.0,0.0,0.0,0.0,0.0,0.0,2214.54,0,0,0,0,0,1,0,0,0,0,0,0
6,Large,4.9,470.0,0.0,28.0,0.0,80.2,97.3,63.0,17.290000000000003,22.47,24.0,2.0,1.0,75.5,36.6,0.48,456.0312,0,0,0,0,0,1,0,0,0,0,0,0
7,Small,8.7,7.0,0.0,0.0,0.0,62.2,68.8,55.6,9.2,12.68,2.0,0.0,0.0,0.0,0.0,0.0,400.2576,0,0,0,0,0,1,0,0,0,0,0,0
8,Small,8.3,365.0,0.0,28.0,0.02,76.8,98.1,55.5,5.05,9.6,22.0,2.0,0.0,0.0,0.0,0.0,1519.0104,0,0,0,0,0,1,0,0,0,0,0,0
9,Small,8.9,131.0,2.0,4.0,0.82,67.5,81.4,53.6,16.64,17.439999999999998,3.0,7.0,1.0,97.8,44.2,0.45,400.2576,0,0,0,0,0,0,0,0,1,0,0,0
10,Medium,8.9,72.0,0.0,6.0,0.02,65.8,83.3,48.3,16.970000000000002,21.48,7.0,3.0,1.0,81.3,31.3,0.38,872.6928,0,0,0,0,0,0,1,0,0,0,0,0
11,Medium,3.8,0.0,0.0,0.0,0.0,32.1,47.4,16.8,4.680000000000001,25.53,0.0,6.0,1.0,56.5,20.6,0.36,4350.3408,0,0,1,0,0,0,0,0,0,0,0,0
12,Medium,5.1,0.0,2.0,0.0,2.23,49.2,55.8,42.6,0.0,32.61,0.0,0.0,1.0,6.5,2.0,0.31,3402.1896,0,0,0,0,1,0,0,0,0,0,0,0
13,Medium,7.8,108.0,3.0,6.0,1.81,66.9,81.4,52.4,12.099999999999998,14.669999999999998,0.0,9.0,1.0,98.0,43.4,0.44,183.7248,0,0,0,0,0,0,0,0,1,0,0,0
14,Small,5.1,521.0,1.0,27.0,1.15,81.8,98.8,64.8,11.99,21.22,32.0,3.0,1.0,69.9,25.8,0.37,4347.06,0,0,0,0,0,1,0,0,0,0,0,0
15,Very Large,5.1,0.0,2.0,0.0,0.87,59.6,65.4,53.8,24.78,43.06,0.0,3.0,1.0,88.0,27.6,0.31,3156.1296,0,0,0,0,0,1,0,0,0,0,0,0
16,Medium,6.7,385.0,0.0,23.0,0.0,77.4,94.1,60.8,7.48,12.82,15.0,4.0,1.0,162.0,64.2,0.4,1433.7096,0,0,0,0,0,1,0,0,0,0,0,0
