,Fire Size Rank,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Mar_SP,Mar_WC,Mar_Dens,Elevation,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
0,Very Large,6.5,0.0,0.0,0.0,0.0,58.8,65.2,52.4,14.11,21.42,0.0,1.0,0,0.0,0.0,0.0,961.2744,0,0,0,0,0,1,0,0,0,0,0,0
1,Very Large,6.7,529.0,0.0,22.0,0.0,82.6,96.6,68.6,4.68,4.880000000000001,15.0,4.0,1,36.0,16.0,0.44,3389.0664,0,0,0,0,0,0,1,0,0,0,0,0
2,Very Large,6.9,237.0,0.0,23.0,0.0,72.6,92.6,52.6,2.52,8.09,43.0,0.0,0,0.0,0.0,0.0,1049.856,0,1,0,0,0,0,0,0,0,0,0,0
3,Very Large,6.5,455.0,0.0,28.0,0.0,79.7,94.6,64.7,3.41,6.45,43.0,0.0,0,0.0,0.0,0.0,4192.8624,0,1,0,0,0,0,0,0,0,0,0,0
4,Very Large,4.5,0.0,0.0,0.0,0.02,56.4,62.9,49.9,18.03,54.17,0.0,2.0,1,77.0,34.0,0.44,3244.7112,0,1,0,0,0,0,0,0,0,0,0,0
5,Very Large,6.0,629.0,0.0,31.0,0.0,85.3,99.2,71.4,2.1500000000000004,4.880000000000001,52.0,0.0,1,36.0,16.0,0.44,6125.2536,0,1,0,0,0,0,0,0,0,0,0,0
6,Very Large,6.3,53.0,0.0,3.0,0.0,64.1,76.2,52.0,3.84,8.76,0.0,0.0,0,0.0,0.0,0.0,646.3176000000001,0,0,0,0,0,0,0,0,0,0,0,1
7,Very Large,6.5,455.0,0.0,28.0,0.0,79.7,94.6,64.7,3.41,6.45,43.0,0.0,0,0.0,0.0,0.0,4839.18,0,1,0,0,0,0,0,0,0,0,0,0
8,Very Large,8.3,216.0,0.0,18.0,0.0,71.2,91.5,50.9,7.629999999999999,9.31,1.0,5.0,0,0.0,0.0,0.0,2299.8408,0,0,0,0,0,0,1,0,0,0,0,0
9,Very Large,5.6,19.0,0.0,0.0,0.01,63.1,71.0,55.3,9.62,10.189999999999998,0.0,2.0,0,0.0,0.0,0.0,5268.964800000001,0,0,0,0,0,0,1,0,0,0,0,0
