,AcresBurned,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Mar_SP,Mar_WC,Mar_Dens,Elevation,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
0,58.0,6.3,40.0,1.0,2.0,0.5,64.9,79.4,50.5,0.22,8.99,4.0,0.0,0,0.0,0.0,0.0,1223.7384,0,0,0,0,0,0,0,0,0,0,1,0
1,11.0,5.8,513.0,0.0,29.0,0.01,81.6,96.7,66.4,7.959999999999999,13.2,27.0,0.0,0,0.0,0.0,0.0,1541.976,0,0,0,0,0,1,0,0,0,0,0,0
2,100.0,7.8,290.0,0.0,23.0,0.0,74.3,94.7,54.0,6.02,8.09,26.0,0.0,0,0.0,0.0,0.0,830.0424,0,0,0,0,0,1,0,0,0,0,0,0
3,757.0,9.2,365.0,0.0,20.0,0.0,76.8,91.2,62.4,11.259999999999998,18.77,28.0,0.0,0,0.0,0.0,0.0,980.9592,0,1,0,0,0,0,0,0,0,0,0,0
4,120.0,3.8,47.0,0.0,1.0,0.04,65.4,81.4,49.4,0.29,4.7,50.0,0.0,1,23.0,9.0,0.39,541.332,0,0,0,0,0,0,0,0,0,0,1,0
5,3380.0,11.9,290.0,0.0,6.0,0.0,74.7,85.6,63.7,3.54,6.68,33.0,0.0,0,0.0,0.0,0.0,1112.1912,0,0,0,0,0,0,0,0,0,0,0,1
6,19.0,7.8,560.0,0.0,31.0,0.0,83.1,99.9,66.3,11.9,16.779999999999998,33.0,1.0,1,0.0,0.0,0.0,324.79920000000004,0,0,0,0,0,1,0,0,0,0,0,0
7,747.0,6.5,479.0,0.0,31.0,0.04,80.5,97.2,63.7,11.289999999999996,14.349999999999998,18.0,1.0,1,138.0,51.0,0.37,6148.2192000000005,0,0,0,0,0,1,0,0,0,0,0,0
8,25.0,6.7,200.0,0.0,14.0,0.0,70.8,90.0,51.5,3.22,14.12,47.0,0.0,1,90.5,44.0,0.49,1994.7264,0,0,0,0,0,0,0,0,0,0,0,1
9,2490.0,4.3,38.0,1.0,6.0,0.11,65.0,82.8,47.2,11.14,25.01,12.0,0.0,0,0.0,0.0,0.0,669.2832000000001,0,0,0,0,0,0,0,0,0,0,0,1
10,211.0,7.8,201.0,0.0,13.0,0.0,71.4,87.2,55.6,12.94,15.15,4.0,5.0,0,0.0,0.0,0.0,324.79920000000004,0,0,0,0,0,0,1,0,0,0,0,0
11,0.0,5.6,0.0,0.0,0.0,0.01,56.5,62.4,50.5,42.66,68.14000000000001,0.0,7.0,1,77.0,24.5,0.32,2467.1616,0,0,0,0,0,1,0,0,0,0,0,0
12,775.0,6.7,366.0,0.0,24.0,0.0,76.7,96.0,57.5,5.56,15.97,49.0,0.0,0,0.0,0.0,0.0,623.352,0,1,0,0,0,0,0,0,0,0,0,0
13,67.0,8.7,49.0,0.0,0.0,0.0,64.1,75.0,53.1,2.26,21.33,6.0,0.0,0,0.0,0.0,0.0,118.1088,0,0,0,0,0,0,0,0,0,0,1,0
14,444.0,6.7,122.0,2.0,3.0,0.47,68.1,80.1,56.1,2.38,18.130000000000003,0.0,0.0,0,0.0,0.0,0.0,131.232,0,0,0,0,0,0,0,0,0,0,0,1
15,25.0,4.7,110.0,0.0,12.0,0.0,67.5,86.1,49.0,1.38,21.59,31.0,1.0,0,0.0,0.0,0.0,3868.0632,0,0,0,0,0,0,0,0,0,0,1,0
16,202.0,8.5,432.0,0.0,28.0,0.0,78.9,95.7,62.2,12.5,15.8,22.0,5.0,1,6.5,3.0,0.46,246.06,0,0,0,0,0,1,0,0,0,0,0,0
17,45.0,9.8,317.0,0.0,13.0,0.0,75.2,88.9,61.6,1.76,2.6100000000000003,12.0,2.0,0,0.0,0.0,0.0,278.868,0,0,0,0,0,0,0,0,1,0,0,0
18,1020.0,6.5,392.0,0.0,26.0,0.0,77.6,94.2,61.1,5.8500000000000005,10.4,37.0,2.0,1,60.5,26.5,0.44,5524.867200000001,0,1,0,0,0,0,0,0,0,0,0,0
19,91.0,7.2,377.0,1.0,21.0,0.16,77.1,92.7,61.6,24.56,27.78,9.0,8.0,0,0.0,0.0,0.0,167.32080000000002,0,0,0,0,0,0,1,0,0,0,0,0
20,1678.0,6.7,433.0,0.0,25.0,0.0,79.4,95.1,63.8,14.16,19.03,5.0,7.0,1,33.0,13.0,0.39,521.6472,0,0,0,0,0,0,1,0,0,0,0,0
21,35.0,8.3,492.0,0.0,29.0,0.0,80.9,97.4,64.3,11.21,15.37,32.0,1.0,1,1.0,0.5,0.5,912.0624,0,0,0,0,0,1,0,0,0,0,0,0
22,33.0,6.0,274.0,0.0,21.0,0.0,74.1,91.6,56.6,7.45,13.16,57.0,0.0,0,0.0,0.0,0.0,2437.6344,0,0,0,0,0,0,0,0,0,0,0,1
23,75.0,4.3,380.0,0.0,26.0,0.0,77.6,97.8,57.5,17.96,23.49,17.0,0.0,0,0.0,0.0,0.0,1332.0048000000002,0,0,0,0,0,1,0,0,0,0,0,0
24,1120.0,5.6,103.0,0.0,0.0,0.0,65.5,73.3,57.7,29.76,56.21,0.0,0.0,1,57.5,20.0,0.35,4832.6184,0,0,0,0,0,0,0,0,0,0,0,1
25,0.0,6.7,529.0,0.0,22.0,0.0,82.6,96.6,68.6,4.68,4.880000000000001,15.0,4.0,0,0.0,0.0,0.0,2736.1872000000003,0,0,0,0,0,0,1,0,0,0,0,0
26,46.0,5.8,513.0,0.0,29.0,0.01,81.6,96.7,66.4,7.959999999999999,13.2,27.0,0.0,0,0.0,0.0,0.0,1751.9472,0,0,0,0,0,1,0,0,0,0,0,0
27,50.0,6.3,639.0,0.0,30.0,0.0,85.6,101.8,69.5,10.79,13.16,29.0,2.0,1,33.0,13.0,0.39,957.9936,0,0,0,0,0,1,0,0,0,0,0,0
28,16.0,8.1,475.0,0.0,22.0,0.0,80.1,94.9,65.4,6.890000000000001,6.98,34.0,0.0,0,0.0,0.0,0.0,2962.5624000000003,0,0,0,0,0,0,0,0,1,0,0,0
