CDEC Station,River Basin,Latitude,Longitude
red_rock_mountain,Trinity,41.03066485,-122.8987362
parks_creek,Shasta,41.34761713,-122.5368595
mt_shasta,Sacramento,41.31392323,-122.3099082
brewer_creek,McCloud,41.40531038,-122.0555872
cedar_pass,Pit,41.56125893,-120.2696222
eureka_lake,Feather,39.76513927,-120.7141291
yuba_pass,Yuba,39.6174,120.4899
ward_creek_2,Lake Tahoe,39.13870235,-120.1986614
echo_summit,American,38.81342052,-120.0303156
hams_station,Mokelumne,38.5446318,-120.3779759
eagle_meadow,Stanislaus,38.28203505,-119.8357778
tuolmne_meadows,Walker,37.8731,119.3591
snow_flat,Merced,37.82523946,-119.5005021
gem_pass,Mono,37.77772357,-119.1602088
piute_pass,San Joaquin,37.23950925,-118.6865776
mammoth_pass,Owens,37.60992321,-119.0341932
bishop_pass,Kings,37.11613387,-118.545007
big_meadows,Kings,36.72230626,-118.828218
mineral_king,Kaweah,36.45348808,-118.610808
cottonwood_pass,Kern,36.45686758,-118.2164618
,,,
